method,update,episode_start,episode_end,reward,cost,dual,entropy_threshold,low_entropy_rate,quality_reward,improvement_reward,relative_loss_improvement,relative_quality_improvement,radar_loss,beam_objective,beampattern_loss,cross_corr,sidelobe_ratio,sidelobe_leakage,target_mean,target_min,target_min_ratio,target_band_error_mean,feasible_rate,accepted_rate,mean_step_scale,rollout_time_sec,reset_time_sec,policy_time_sec,env_step_time_sec,transition_time_sec,segment_time_sec,ppo_update_time_sec,update_time_sec,transitions_per_sec
cse,1,1,64,0.01889062504389933,0.009397510963000108,0.00046987554815000544,0.20778766814789032,0.025390625,0.0023613281304874167,0.0023613281304874167,0.003280540099483541,0.0023613281304874167,0.6801618974369017,0.6801618974369017,0.5151187991981354,0.16504309823876645,0.8715653664623269,0.9650151667095777,2.1458827482556986,1.949527877336914,0.9095005941215493,0.019328223362371368,0.984375,0.123046875,0.0747528076171875,4.66315146908164,2.57487685396336,0.36752201593481004,1.6940021130722016,0.025951377116143703,0.008074752986431122,1.2532302009640262,5.927119676955044,109.79699102522036
cse,2,65,128,0.02799184675798514,0.01251132256282536,0.0010954416762912734,0.23001533986884565,0.015625,0.0034989808447481426,0.0034989808447481426,0.004397369122551975,0.0034989808447481426,0.6919198248883669,0.6919198248883669,0.5238956186766351,0.16802420621173167,0.8569086953308058,0.9523545838524095,2.1524503215615227,1.9865077727781573,0.9232268395100648,0.017704854192003155,0.984375,0.140625,0.094482421875,4.235935258911923,2.5055797660024837,0.022634604014456272,1.6805458560120314,0.026544028893113136,0.005880823940970004,1.363359134993516,5.6099377679638565,120.87059142908538
cse,3,129,192,0.024625326536195886,0.02093345265761012,0.0021421143091717794,0.24780951376481394,0.046875,0.003078165817024486,0.003078165817024486,0.00410986627715524,0.003078165817024486,0.6573543080313546,0.6573543080313546,0.5056570052932672,0.15169730273808746,0.8479582952436111,0.9409533857509641,2.1804208323028353,2.001100118097497,0.919709493314447,0.018262157587853343,0.96875,0.138671875,0.088958740234375,4.259568113950081,2.5060589279746637,0.0241422118851915,1.699950853944756,0.028696659952402115,0.007117197033949196,1.2243992319563404,5.496760920039378,120.19997950571575
cse,4,193,256,0.019858590491343642,0.02315493739908047,0.003299861179125803,0.2620518209649641,0.0625,0.0024823238114179552,0.0024823238114179552,0.0032889802525153024,0.0024823238114179552,0.700850637944792,0.700850637944792,0.5179741905011321,0.18287644744365983,0.8499312281614625,0.9451533018534815,2.1944056868301116,1.946905309679307,0.8900169762563379,0.02334837350468332,0.96875,0.1171875,0.06850433349609375,4.293898971984163,2.516259930911474,0.024569726083427668,1.722258918103762,0.030079093761742115,0.006600813940167427,1.2135494460817426,5.521103970007971,119.23894887620295
cse,5,257,320,0.019368441291554878,0.0,0.003299861179125803,0.27344878539128326,0.03125,0.0024210551614443597,0.0024210551614443597,0.003336750355322612,0.0024210551614443597,0.6500121885286211,0.6500121885286211,0.49829424898047286,0.15171793954814822,0.8236676174640611,0.913744072170079,2.174841612528739,2.003831227988645,0.9229102966754942,0.016411040871645976,1.0,0.15234375,0.0756072998046875,4.297600739984773,2.520790263079107,0.022277541924268007,1.7268383831251413,0.027026415918953717,0.0064603929640725255,1.246506358962506,5.555702929967083,119.13624158623308
cse,6,321,384,0.02162810561035792,0.00010420358384265875,0.003305071358317936,0.28257321389170087,0.03125,0.00270351320129474,0.00270351320129474,0.003614527941075571,0.00270351320129474,0.6654274154557245,0.6654274154557245,0.5097094908219248,0.1557179246337998,0.8306175030252815,0.9256743848757081,2.2191391183279,2.0203639718631505,0.9117654268060849,0.018291566146199582,0.984375,0.126953125,0.07816314697265625,4.315636954968795,2.5312314650509506,0.032863745000213385,1.7200010529486462,0.03072155499830842,0.006185578997246921,1.2560476530343294,5.584891302045435,118.63833898505072
cse,7,385,448,0.022417284121901852,0.014476526439331013,0.004028897680284487,0.2898732736714986,0.03125,0.0028021605152377315,0.0028021605152377315,0.003071035607225306,0.0028021605152377315,0.6662435272370173,0.6662435272370173,0.496958698135318,0.16928482910169929,0.8654067423355783,0.9573436872432413,2.1513871259853756,1.9169122122877384,0.8941933265291166,0.020515500366394563,0.984375,0.134765625,0.087646484375,4.2180807560216635,2.519202986964956,0.022351470892317593,1.64925290516112,0.026627575047314167,0.005398462060838938,1.1418137649307027,5.3704534930875525,121.38221850519982
cse,8,449,512,0.023703930203692596,0.0,0.004028897680284487,0.29571355591307824,0.03125,0.0029629912754615744,0.0029629912754615744,0.003514071967285198,0.0029629912754615744,0.6618599035805393,0.6618599035805393,0.5002873199123289,0.16157258366821026,0.8491275741099593,0.9422785629458907,2.1804563374656505,2.002836365417635,0.9187966316836065,0.017668982883237642,1.0,0.1328125,0.08138275146484375,4.237932889023796,2.486824576044455,0.021283698035404086,1.705471117165871,0.02372072823345661,0.07493572600651532,1.0279184969840571,5.347634673002176,120.81361678144431
cse,9,513,576,0.016121595551099765,0.0,0.004028897680284487,0.30038450396797567,0.015625,0.0020151994438874707,0.0020151994438874707,0.0025989483586904534,0.0020151994438874707,0.6848478235739124,0.6848478235739124,0.5034225575616695,0.1814252660122429,0.841150772217126,0.9338010718701135,2.1896170484575053,1.9992538063023955,0.9141403210168303,0.01823216620974158,1.0,0.12890625,0.05889892578125,4.21734550606925,2.4993683660868555,0.02395717625040561,1.6644678062293679,0.028844877029769123,0.005697440006770194,1.039716853061691,5.269732836983167,121.40338022179414
cse,10,577,640,0.019953637446552038,0.0,0.004028897680284487,0.3041194188702788,0.05078125,0.0024942046808190048,0.0024942046808190048,0.003532776626064575,0.0024942046808190048,0.6736495753660783,0.6736495753660783,0.5179898325212059,0.15565974284487238,0.8500807910124409,0.9448171741167675,2.138224342120319,1.9472079283136177,0.9108993316957827,0.019484847663297077,1.0,0.126953125,0.073638916015625,4.211018561967649,2.4900690499925986,0.02315055427607149,1.6684891592012718,0.028596799820661545,0.007051205029711127,1.027743220096454,5.251300056930631,121.58578559215894
