method,block,antenna_index,column_index,global_column_index,real,imag,abs,phase_rad
vanilla,Wc,0,0,0,0.10002160176066142,0.03212654682938229,0.10505444221901727,0.3107875496641044
vanilla,Wc,0,1,1,0.12274525381991633,-0.1978747306542534,0.23285361574776764,-1.0155709419965404
vanilla,Wr,0,0,2,0.05194028721304511,0.05768704991155984,0.07762466852278607,0.8377711168287886
vanilla,Wr,0,1,3,0.12780331639849854,0.05780127230716459,0.14026644204078795,0.4247378885436393
vanilla,Wr,0,2,4,0.07640429085797486,-0.038692010624777846,0.08564278923352474,-0.4687636341360983
vanilla,Wr,0,3,5,0.007713155121385504,-0.002999956583826173,0.008276019661129222,-0.3709359135366223
vanilla,Wr,0,4,6,0.011868961143099073,0.005937799356145512,0.01327138650670071,0.46387127901501035
vanilla,Wr,0,5,7,-0.010538443430254332,-0.0063387507037893755,0.01229790837571418,-2.6000795140639807
vanilla,Wr,0,6,8,-0.008315691978430339,0.01237280694966964,0.014907618350827339,2.1625470573034518
vanilla,Wr,0,7,9,0.00922374179953414,-0.022357368227857295,0.024185312213417385,-1.1795100100583433
vanilla,Wr,0,8,10,-0.011111310225007899,0.0045987413857203965,0.012025374723853833,2.74917890964769
vanilla,Wr,0,9,11,0.015681011029507183,-0.010689977638888496,0.018978138181272208,-0.5983483311679225
vanilla,Wc,1,0,0,-0.12106322648240189,0.10996904716181397,0.1635527319857623,2.4041776722749963
vanilla,Wc,1,1,1,0.11101876120090441,0.07073155731570441,0.13163631162748451,0.5672627998962589
vanilla,Wr,1,0,2,-0.06310570378837857,0.037856171866857656,0.07358953457550634,2.6012576377780676
vanilla,Wr,1,1,3,0.12195453408294679,0.028244967980709468,0.12518261300843636,0.22758978664715604
vanilla,Wr,1,2,4,-0.030267266422571097,-0.17899059600349385,0.18153165254131534,-1.7383113979760445
vanilla,Wr,1,3,5,-0.010227342847993204,-0.01759776337078684,0.020353864924986722,-2.0972573162252828
vanilla,Wr,1,4,6,0.0027802311460287,-0.009795720008534783,0.010182623223460483,-1.294247928850109
vanilla,Wr,1,5,7,0.004949693990290445,-0.014458239698906913,0.015282020998171844,-1.2409580642366285
vanilla,Wr,1,6,8,-0.0011693446251658016,-0.01428994501554038,0.014337708861584947,-1.652444298991214
vanilla,Wr,1,7,9,-0.0014896203409079743,-0.025314222897228768,0.025358013519410944,-1.6295737387188107
vanilla,Wr,1,8,10,0.0051139091551010325,0.0004415707805671448,0.005132937911262597,0.0861333724145746
vanilla,Wr,1,9,11,0.0026768103656275148,0.015777241165552514,0.01600270766244062,1.4027339502254326
vanilla,Wc,2,0,0,0.04679839859270292,-0.127471343443634,0.13579040286473265,-1.2189442474049614
vanilla,Wc,2,1,1,-0.04502817750225731,0.019799350229764517,0.04918893207516979,2.727328575753996
vanilla,Wr,2,0,2,-0.08896474127974967,-0.0658579154093635,0.11068870860679365,-2.5043479820332664
vanilla,Wr,2,1,3,0.17619523408759133,-0.03799389476670767,0.18024510133350297,-0.21238321710166894
vanilla,Wr,2,2,4,-0.15660228925432856,0.07760170058955604,0.17477500088424403,2.6815245216228485
vanilla,Wr,2,3,5,-0.0128188543741014,0.01635622229846605,0.02078097772823157,2.2355372113080048
vanilla,Wr,2,4,6,0.0011157094245448085,-0.004348261749059863,0.004489118817580489,-1.3196273782156742
