method,block,antenna_index,column_index,global_column_index,real,imag,abs,phase_rad
cse,Wr,7,2,4,0.01101475040500555,-0.11587686693679611,0.11639919680810741,-1.4760254331347789
cse,Wr,7,3,5,0.008481835199180313,0.019012848047676823,0.020818979783603773,1.1511814378921643
cse,Wr,7,4,6,0.0027067506250418936,-0.0012096427211464387,0.002964748633356164,-0.4202717023705111
cse,Wr,7,5,7,0.01369707740668962,-0.01541722932344183,0.020622824479116383,-0.8444122613565254
cse,Wr,7,6,8,-0.023683708599549328,-0.020724919305755162,0.03147126202201669,-2.4227226166486306
cse,Wr,7,7,9,-0.010073699578600905,-0.011887350821353199,0.015581672976603976,-2.27379657179
cse,Wr,7,8,10,-0.01914769141545745,0.0027219576286354697,0.01934019492853342,3.0003828678393374
cse,Wr,7,9,11,-0.008508272285026609,-0.03015227253920171,0.031329702145958066,-1.8458224484956947
cse,Wc,8,0,0,-0.03884612520876764,-0.032259508776629725,0.05049452792377311,-2.4485623303134667
cse,Wc,8,1,1,0.08097074160678219,0.0877819557515909,0.11942333420201662,0.8257383721598855
cse,Wr,8,0,2,-0.1325566595377123,-0.11120839428847645,0.1730276710472005,-2.4435488338768288
cse,Wr,8,1,3,0.1488685932946246,-0.056214558042117314,0.15912867310887413,-0.36105861993721533
cse,Wr,8,2,4,-0.15144972934430184,0.0628813559207076,0.1639850159035544,2.748055108261873
cse,Wr,8,3,5,-0.009861599314353531,0.004399858659769395,0.010798606264829076,2.721936024125018
cse,Wr,8,4,6,-0.0129015366596313,0.007170677184528521,0.01476036108855499,2.634307192016537
cse,Wr,8,5,7,0.00030941503200182177,0.0054777790292376595,0.005486510799696339,1.514370796557502
cse,Wr,8,6,8,0.009465656273687827,-0.010059442713553439,0.013812712854427586,-0.8158002364491419
cse,Wr,8,7,9,0.010575658295767633,-0.0057840050028395784,0.012054014362929556,-0.5004729755479955
cse,Wr,8,8,10,0.006612550382785126,-0.006485902023168341,0.00926243745560589,-0.7757295087211126
cse,Wr,8,9,11,0.003502587298147128,0.015428667537650358,0.01582124836315035,1.3475618286697626
cse,Wc,9,0,0,-0.10612801785855804,-0.07537839267582849,0.13017318562967492,-2.524014506476844
cse,Wc,9,1,1,-0.033844510763814485,-0.07526596796394504,0.08252524972632046,-1.993372065826515
cse,Wr,9,0,2,0.163157895817137,-0.08324595379378627,0.18316764941035008,-0.47178786664425887
cse,Wr,9,1,3,0.1331350523482571,0.022945336732512603,0.13509785579920042,0.1706696883674919
cse,Wr,9,2,4,0.0556596533336639,0.14102788510104963,0.1516141859632485,1.1948921137084794
cse,Wr,9,3,5,-0.003536373652721682,-0.009637487562098555,0.010265822184378047,-1.9224814880273307
cse,Wr,9,4,6,-0.013415219270641605,-8.940027265490842e-05,0.013415517153212719,-3.13492865895352
cse,Wr,9,5,7,0.015523230827284724,-0.00970522472475136,0.018307432432623855,-0.5587477918004223
cse,Wr,9,6,8,-0.006940684648657406,-0.011900903816496897,0.013776959571749457,-2.098776149598162
cse,Wr,9,7,9,-0.00157034248170176,0.006805877608469519,0.006984693660519695,1.7975610440323457
cse,Wr,9,8,10,0.02372661989977368,-0.000977403492642546,0.02374674313365448,-0.04117110578104395
cse,Wr,9,9,11,-0.0010196566208443537,0.005637528336074339,0.005728998635405041,1.7497312961503086
