method,block,antenna_index,column_index,global_column_index,real,imag,abs,phase_rad
vanilla,Wc,0,0,0,0.08877886405472331,0.022582084074920176,0.0916058798550279,0.24908105561636026
vanilla,Wc,0,1,1,0.08386311184574051,-0.18547274326370372,0.20355136949235916,-1.1461486866867756
vanilla,Wr,0,0,2,0.026244345968914375,0.09634178889404267,0.09985242101541833,1.3048407758204732
vanilla,Wr,0,1,3,0.14950585455033055,0.05793182313531232,0.16033744627068783,0.3696744286080331
vanilla,Wr,0,2,4,0.1072989763067764,-0.02546283291455724,0.11027885643457146,-0.23299740439750743
vanilla,Wr,0,3,5,-0.021521153548268362,0.012976237922800083,0.025130515328525577,2.599004868639782
vanilla,Wr,0,4,6,0.0050982999168363505,0.012844664855450754,0.01381948180254474,1.1929482386164978
vanilla,Wr,0,5,7,-0.0019351863611521756,-0.017404471048195872,0.01751172632037966,-1.6815305220780428
vanilla,Wr,0,6,8,0.00573094298166593,-0.011193726326796327,0.012575500647621118,-1.097612202599756
vanilla,Wr,0,7,9,0.005252554282697961,-0.009298766874523606,0.010679718717242801,-1.0566116080071617
vanilla,Wr,0,8,10,0.01612382014629466,-0.014611432138044823,0.021759400847329108,-0.7362308715797254
vanilla,Wr,0,9,11,-0.014278829073119772,0.0160136313173658,0.021455100737770707,2.298988524885705
vanilla,Wc,1,0,0,-0.13531465668489284,0.1107963616099209,0.17488822161525563,2.455489769305235
vanilla,Wc,1,1,1,0.10355049226715936,0.07167070966834428,0.1259340901945741,0.6054265410823993
vanilla,Wr,1,0,2,-0.08198699504133966,0.05457263073123696,0.09848877794366526,2.5543112365801433
vanilla,Wr,1,1,3,0.12629567825093482,0.03911345096616859,0.13221369214777465,0.3003296329339043
vanilla,Wr,1,2,4,-0.022298316848426182,-0.14972278272177522,0.15137412790904764,-1.718640327552073
vanilla,Wr,1,3,5,-0.0075130502072317095,0.004435078094177676,0.00872443930105764,2.6083237426778267
vanilla,Wr,1,4,6,0.006493922324363434,0.015066519215811158,0.016406432532250045,1.1638404859252103
vanilla,Wr,1,5,7,-0.008768755123581619,-0.012778695642549475,0.015497939499890036,-2.172201132556543
vanilla,Wr,1,6,8,0.0068688508391700105,-0.036923843161794236,0.037557306954673214,-1.3868712300614132
vanilla,Wr,1,7,9,0.01760217367831347,-0.019552374895214466,0.026308399461854846,-0.8378389346354714
vanilla,Wr,1,8,10,0.006899969718379815,0.0011280806486763802,0.006991576936891745,0.16205693268734755
vanilla,Wr,1,9,11,-0.02394623229084589,0.012232257334246465,0.026889592046336012,2.669325137095751
vanilla,Wc,2,0,0,0.0734952715261706,-0.1298787422837084,0.14923150684055794,-1.0558459596862297
vanilla,Wc,2,1,1,-0.015097767076538133,0.0477084779956169,0.050040398113480884,1.8772837010980028
vanilla,Wr,2,0,2,-0.09266155684825829,-0.036538975026189795,0.09960552601892891,-2.7659861411904356
vanilla,Wr,2,1,3,0.16607045275330967,-0.05807693069242704,0.17593272906523744,-0.3364187655163698
vanilla,Wr,2,2,4,-0.16037432304759294,0.07637656587415938,0.17763249507819087,2.69713359185707
vanilla,Wr,2,3,5,-0.012192700320385505,-0.03599480552692137,0.038003788837741144,-1.8974004745291617
