method,block,antenna_index,column_index,global_column_index,real,imag,abs,phase_rad
cse,Wc,0,0,0,0.06558729093864932,0.03578314775273157,0.07471362925039078,0.4994437988213375
cse,Wc,0,1,1,0.08565103050182031,-0.20131168826075224,0.21877498681617613,-1.1685320835557715
cse,Wr,0,0,2,0.03666289629538234,0.0411528623997539,0.05511556992773493,0.843034217029046
cse,Wr,0,1,3,0.14607173032100026,0.04888722993166507,0.1540354233589226,0.32296171484302
cse,Wr,0,2,4,0.12833189166415407,-0.018915907443893685,0.12971848739684766,-0.1463445681553958
cse,Wr,0,3,5,-0.0017760449516498356,0.008041622840617518,0.008235413382521987,1.7881634767729193
cse,Wr,0,4,6,-0.011636287752245796,-0.0016074637528187168,0.011746792428986371,-3.0043191471706043
cse,Wr,0,5,7,0.017527216808539962,0.0161618854207487,0.023841347894088854,0.7448929397999582
cse,Wr,0,6,8,-0.017875007863196964,0.02111919696071984,0.027668328217928733,2.273188952475182
cse,Wr,0,7,9,0.0009655248305396501,-0.0154147839884905,0.015444992832960837,-1.508241761471364
cse,Wr,0,8,10,0.021741108763574095,-0.013544706242905161,0.025615129854758736,-0.557159670496755
cse,Wr,0,9,11,0.015096811134937962,0.017363849463939672,0.02300906288075081,0.85512450788529
cse,Wc,1,0,0,-0.17338836626734133,0.09808938409926392,0.19921107607216684,2.6267599921164773
cse,Wc,1,1,1,0.10540927416606513,0.06834699981080503,0.12562813165591083,0.5752471228574646
cse,Wr,1,0,2,-0.05753824309070499,0.025991198474545625,0.06313629555262396,2.7173089586654617
cse,Wr,1,1,3,0.11950024483419387,0.01744452299516679,0.12076679965106794,0.1449551019132029
cse,Wr,1,2,4,-0.020064816933575688,-0.14967210621437943,0.15101104680527974,-1.7040602839563468
cse,Wr,1,3,5,-0.005231087886628216,-0.01366075991533937,0.014628077178569005,-1.936499418429092
cse,Wr,1,4,6,-0.0053963811323825975,1.84561928545017e-06,0.005396381447993223,3.1412506430519507
cse,Wr,1,5,7,0.02651666734706658,-0.005989779599399283,0.027184758723306095,-0.22215886993078676
cse,Wr,1,6,8,0.007101728892540031,0.03164184088318671,0.03242900935489772,1.350013937642781
cse,Wr,1,7,9,-0.02303842662802459,-0.011390030412108303,0.025700231405254403,-2.682440921980257
cse,Wr,1,8,10,-0.0024194473241626493,-0.003505672625653055,0.004259514750843222,-2.1748823394547045
cse,Wr,1,9,11,0.019570800999492804,-0.007871263831291364,0.021094384230489975,-0.3823965483766909
cse,Wc,2,0,0,0.07736282527956861,-0.10915622851678583,0.13379121405849426,-0.9542320592971282
cse,Wc,2,1,1,0.004396670047596195,0.034692826936811014,0.03497031524557578,1.4447369476401877
cse,Wr,2,0,2,-0.10007001499382526,-0.032371420802896816,0.10517564730327374,-2.8287291692005794
cse,Wr,2,1,3,0.19384099083023074,-0.057528498345084444,0.20219757132044386,-0.28850180420487287
cse,Wr,2,2,4,-0.1279938644319148,0.1020855072783671,0.1637189058370991,2.468328295788383
cse,Wr,2,3,5,0.011396411168710652,-0.020074275038561636,0.023083645852640604,-1.0544562575409389
cse,Wr,2,4,6,-0.022220451080231355,0.005803578015859245,0.022965843420068847,2.886117919566354
cse,Wr,2,5,7,0.009181674705463069,0.014258013306681926,0.01695859940709902,0.9986746902894021
cse,Wr,2,6,8,0.009277672474083601,-0.007322646213148392,0.011819321219905355,-0.6681677579457744
cse,Wr,2,7,9,0.01032940956280924,-0.01132977210644761,0.015331680856980204,-0.8315518983277429
cse,Wr,2,8,10,-0.019431693782224323,0.0018895491974553365,0.019523348058561565,3.044656838737988
cse,Wr,2,9,11,0.0043081531548790465,0.0022308006671928264,0.004851459081827058,0.4777931267802338
cse,Wc,3,0,0,0.13401038815457028,0.04442012630110669,0.14118049353202042,0.32007062074831016
cse,Wc,3,1,1,0.10616289454326072,0.03316743549296447,0.11122337413953712,0.30281218994339176
cse,Wr,3,0,2,0.04788401253534634,-0.06594627824895981,0.08149717953018028,-0.942763326187386
cse,Wr,3,1,3,0.17407220318967945,-0.047677878356832674,0.18048355051892673,-0.26734060058121145
cse,Wr,3,2,4,0.14921327717094882,-0.05270459870490097,0.1582478335040927,-0.3395374622850398
cse,Wr,3,3,5,0.004121613206959648,-0.027140274175652245,0.027451451286905768,-1.4200845229891226
cse,Wr,3,4,6,-0.009462821717831093,-0.0274623977968867,0.0290470013532878,-1.9026289261186171
cse,Wr,3,5,7,-0.0035058470471456354,-0.009622059032886493,0.010240848770992192,-1.9202020504245638
cse,Wr,3,6,8,-0.0015684063611282081,-0.009511731259195626,0.009640172719447854,-1.7342175984272623
cse,Wr,3,7,9,-0.012016380577299769,0.00028195143915987845,0.012019687965689935,3.1181330343553597
cse,Wr,3,8,10,0.011198666766686108,-0.026113986985914668,0.02841391302956706,-1.165679458351004
cse,Wr,3,9,11,-0.009780682758840706,-0.02442021122718709,0.026306053896575178,-1.9517473619537813
cse,Wc,4,0,0,-0.22905563246241256,0.08445856554741331,0.2441305635455801,2.7883345646375175
cse,Wc,4,1,1,0.05326023905422567,-0.009766871913978771,0.05414835963440936,-0.18136509168252396
cse,Wr,4,0,2,0.03471076008946145,0.06583046679949253,0.07442101332975277,1.085567547492954
cse,Wr,4,1,3,0.08331701126550094,0.0727570364182943,0.11061333877335325,0.717841096593659
cse,Wr,4,2,4,-0.03674165278392993,-0.12607488320844504,0.1313195538574432,-1.8543697481835064
cse,Wr,4,3,5,-0.010848506259015563,0.01565375673196927,0.01904547683508011,2.176828381689154
cse,Wr,4,4,6,-0.016666960910836807,-0.010240760918653282,0.019561716954203646,-2.5906268795986485
cse,Wr,4,5,7,-0.010433871187882037,-0.006441259085257508,0.012261952804049089,-2.5885197201989207
cse,Wr,4,6,8,0.009954803759040301,-0.018425333231200706,0.020942564851559896,-1.0754477854065794
cse,Wr,4,7,9,0.013280857316449549,0.018851416959636103,0.023059858899090152,0.9570554009141783
cse,Wr,4,8,10,-0.006904304544852916,0.007636531520059083,0.010294951913677524,2.3058803962747754
cse,Wr,4,9,11,0.008537192939250945,-0.02011555788565178,0.021852215730515833,-1.1694276684454197
cse,Wc,5,0,0,-0.11642439857583839,0.015606510316176268,0.11746575563965268,3.008338560458408
