algo,seed,update,episode,train_reward,train_objective,train_feasible_rate,train_min_sinr_db,actor_loss,critic_loss,entropy,alpha_entropy,approx_kl,clip_fraction,grad_norm,update_time_sec
ppo,1,37,9472,-12440.824071548781,1260.0883884535106,0.0,-15.602236197766654,0.04207149939611554,51337118.0,0.7199759483337402,0.001,0.06618843600153923,0.43408203125,74611.044921875,9.621480677044019
ppo,1,38,9728,-13217.281840062,1316.274475855375,0.0,-16.062935171562096,0.04373559053055942,56682713.0,0.7200004979968071,0.001,0.15581900626420975,0.583251953125,78807.904296875,9.575986301992089
ppo,1,39,9984,-12828.840117936157,1256.3541928216557,0.0,-15.553796147496834,0.030130353290587664,54067631.0,0.720026284456253,0.001,0.05487779900431633,0.3955078125,76423.72265625,9.593206994002685
ppo,1,40,10240,-12311.098884990106,1211.8451639487582,0.0,-14.880310953494856,0.0511845633154735,49600312.5,0.7200089618563652,0.001,0.15030467323958874,0.603759765625,73302.9462890625,9.585750666912645
ppo,1,41,10496,-12669.224893595632,1249.2387325419345,0.0,-15.483579026500575,0.03784514032304287,51590592.0,0.7200008183717728,0.001,0.059318430721759796,0.41552734375,75252.787109375,9.537416397011839
ppo,1,42,10752,-13105.378731093188,1286.4420044918538,0.0,-15.870449410220296,0.034768019802868366,55597303.0,0.7200065404176712,0.001,0.06507442146539688,0.419921875,77876.728515625,9.52379609097261
ppo,1,43,11008,-12611.861545258886,1244.8779361011593,0.0,-15.408856167006176,0.03756871190853417,51694854.5,0.7200134769082069,0.001,0.16354208625853062,0.60009765625,75158.486328125,9.611818784032948
ppo,1,44,11264,-13272.432525818807,1311.7368361616086,0.0,-15.992736855084203,0.0294932855758816,58234287.0,0.7200118750333786,0.001,0.05574582889676094,0.3720703125,79236.609375,9.508708305074833
ppo,1,45,11520,-13476.377995901888,1343.2835124502644,0.0,-16.717174736522857,0.033582291565835476,60206182.0,0.7200225591659546,0.001,0.06687887012958527,0.4052734375,80530.16796875,9.510011696023867
ppo,1,46,11776,-12514.12383484279,1247.1299865226551,0.0,-15.582690513787071,0.04045062221121043,50569298.5,0.7200511544942856,0.001,0.14302888698875904,0.591064453125,74706.4951171875,9.639210531953722
ppo,1,47,12032,-12804.174126031368,1260.350624674416,0.0,-15.579597936361857,0.04528233804740012,53075439.5,0.7201065719127655,0.001,0.12492460943758488,0.5712890625,76198.607421875,9.612198992981575
ppo,1,48,12288,-12687.67169312307,1234.0996038134856,0.0,-15.241142513230688,0.042845760472118855,51517036.5,0.7201849520206451,0.001,0.1404637936502695,0.574951171875,75208.638671875,9.588014618027955
ppo,1,49,12544,-12982.684330419399,1270.654655915148,0.0,-15.532291857814855,0.031554463086649776,55025300.0,0.720255970954895,0.001,0.11677976697683334,0.553955078125,77304.1806640625,9.621579785016365
ppo,1,50,12800,-12889.043637282706,1265.3259248976049,0.0,-15.552999330211904,0.035745975095778704,54143564.0,0.7203266471624374,0.001,0.13510576076805592,0.565185546875,76780.33984375,9.588799699093215
ppo,1,51,13056,-12369.927466571138,1194.9056211335371,0.0,-14.689270993084433,0.021083425963297486,49687194.5,0.720371775329113,0.001,0.1648513562977314,0.5712890625,73251.296875,9.64903972495813
ppo,1,52,13312,-12566.898394011789,1253.5140709951784,0.0,-15.614743616230971,0.03562203235924244,51707356.0,0.7204029485583305,0.001,0.10992468893527985,0.551513671875,74860.232421875,9.63015201606322
ppo,1,53,13568,-12562.529567930134,1227.0286270782249,0.0,-15.151384181575928,0.040713503025472164,51951679.0,0.7204121947288513,0.001,0.13408804312348366,0.558837890625,74842.2294921875,9.617004101048224
ppo,1,54,13824,-12412.300449836064,1195.2617990163756,0.0,-14.827013183430594,0.03040302696172148,49458244.5,0.7204315960407257,0.001,0.14202427119016647,0.580810546875,73475.607421875,9.70101528300438
