algo,seed,update,entropy_mean,entropy_threshold,high_entropy_rate,macro_step_rate,average_macro_length,num_macro_segments
ppo,1,1,0.7189823389053345,nan,1.0,0.0,1.0,0.0
ppo,1,2,0.719043105840683,nan,1.0,0.0,1.0,0.0
ppo,1,3,0.7190636694431305,nan,1.0,0.0,1.0,0.0
ppo,1,4,0.7190981507301331,nan,1.0,0.0,1.0,0.0
ppo,1,5,0.7191415280103683,nan,1.0,0.0,1.0,0.0
ppo,1,6,0.7191783785820007,nan,1.0,0.0,1.0,0.0
ppo,1,7,0.719197541475296,nan,1.0,0.0,1.0,0.0
ppo,1,8,0.7192260473966599,nan,1.0,0.0,1.0,0.0
ppo,1,9,0.7192578613758087,nan,1.0,0.0,1.0,0.0
ppo,1,10,0.7192728891968727,nan,1.0,0.0,1.0,0.0
ppo,1,11,0.719272568821907,nan,1.0,0.0,1.0,0.0
ppo,1,12,0.7192645370960236,nan,1.0,0.0,1.0,0.0
ppo,1,13,0.7192520424723625,nan,1.0,0.0,1.0,0.0
ppo,1,14,0.719243697822094,nan,1.0,0.0,1.0,0.0
ppo,1,15,0.7192655876278877,nan,1.0,0.0,1.0,0.0
ppo,1,16,0.7192844152450562,nan,1.0,0.0,1.0,0.0
ppo,1,17,0.719274640083313,nan,1.0,0.0,1.0,0.0
ppo,1,18,0.7192700952291489,nan,1.0,0.0,1.0,0.0
ppo,1,19,0.7192834615707397,nan,1.0,0.0,1.0,0.0
ppo,1,20,0.7193106561899185,nan,1.0,0.0,1.0,0.0
ppo,1,21,0.7193621769547462,nan,1.0,0.0,1.0,0.0
ppo,1,22,0.7194190919399261,nan,1.0,0.0,1.0,0.0
ppo,1,23,0.7194513529539108,nan,1.0,0.0,1.0,0.0
ppo,1,24,0.7194683104753494,nan,1.0,0.0,1.0,0.0
ppo,1,25,0.7194874808192253,nan,1.0,0.0,1.0,0.0
ppo,1,26,0.7194916978478432,nan,1.0,0.0,1.0,0.0
ppo,1,27,0.7195453867316246,nan,1.0,0.0,1.0,0.0
ppo,1,28,0.7196142971515656,nan,1.0,0.0,1.0,0.0
ppo,1,29,0.7196771129965782,nan,1.0,0.0,1.0,0.0
ppo,1,30,0.7197281941771507,nan,1.0,0.0,1.0,0.0
ppo,1,31,0.7197494655847549,nan,1.0,0.0,1.0,0.0
ppo,1,32,0.7198019325733185,nan,1.0,0.0,1.0,0.0
ppo,1,33,0.7198704481124878,nan,1.0,0.0,1.0,0.0
ppo,1,34,0.7199082523584366,nan,1.0,0.0,1.0,0.0
ppo,1,35,0.7199392914772034,nan,1.0,0.0,1.0,0.0
ppo,1,36,0.7199588268995285,nan,1.0,0.0,1.0,0.0
