algo,seed,update,entropy_mean,entropy_threshold,high_entropy_rate,macro_step_rate,average_macro_length,num_macro_segments
ppo,1,1,0.718884805838267,nan,1.0,0.0,1.0,0.0
ppo,1,2,0.7187998791535696,nan,1.0,0.0,1.0,0.0
ppo,1,3,0.7186946074167887,nan,1.0,0.0,1.0,0.0
ppo,1,4,0.7185897678136826,nan,1.0,0.0,1.0,0.0
ppo,1,5,0.7184579223394394,nan,1.0,0.0,1.0,0.0
ppo,1,6,0.7183125168085098,nan,1.0,0.0,1.0,0.0
ppo,1,7,0.7181000312169393,nan,1.0,0.0,1.0,0.0
ppo,1,8,0.717807744940122,nan,1.0,0.0,1.0,0.0
ppo,1,9,0.7174457361300787,nan,1.0,0.0,1.0,0.0
ppo,1,10,0.7170283148686091,nan,1.0,0.0,1.0,0.0
ppo,1,11,0.7166254371404648,nan,1.0,0.0,1.0,0.0
ppo,1,12,0.716420109073321,nan,1.0,0.0,1.0,0.0
ppo,1,13,0.7160660549998283,nan,1.0,0.0,1.0,0.0
ppo,1,14,0.7154942899942398,nan,1.0,0.0,1.0,0.0
ppo,1,15,0.7147081047296524,nan,1.0,0.0,1.0,0.0
ppo,1,16,0.7138545140624046,nan,1.0,0.0,1.0,0.0
ppo,1,17,0.713122233748436,nan,1.0,0.0,1.0,0.0
ppo,1,18,0.7129449024796486,nan,1.0,0.0,1.0,0.0
ppo,1,19,0.7123719975352287,nan,1.0,0.0,1.0,0.0
ppo,1,20,0.7119392454624176,nan,1.0,0.0,1.0,0.0
ppo,1,21,0.7113268747925758,nan,1.0,0.0,1.0,0.0
ppo,1,22,0.7109057679772377,nan,1.0,0.0,1.0,0.0
ppo,1,23,0.7105540335178375,nan,1.0,0.0,1.0,0.0
ppo,1,24,0.7102025796969732,nan,1.0,0.0,1.0,0.0
ppo,1,25,0.709670881430308,nan,1.0,0.0,1.0,0.0
ppo,1,26,0.7093926519155502,nan,1.0,0.0,1.0,0.0
ppo,1,27,0.7090638726949692,nan,1.0,0.0,1.0,0.0
ppo,1,28,0.7078782543540001,nan,1.0,0.0,1.0,0.0
ppo,1,29,0.7068877145648003,nan,1.0,0.0,1.0,0.0
ppo,1,30,0.7066492587327957,nan,1.0,0.0,1.0,0.0
ppo,1,31,0.7064054906368256,nan,1.0,0.0,1.0,0.0
ppo,1,32,0.7055249561866125,nan,1.0,0.0,1.0,0.0
ppo,1,33,0.7052675038576126,nan,1.0,0.0,1.0,0.0
ppo,1,34,0.7050053874651591,nan,1.0,0.0,1.0,0.0
ppo,1,35,0.7044587731361389,nan,1.0,0.0,1.0,0.0
ppo,1,36,0.7035710215568542,nan,1.0,0.0,1.0,0.0
ppo,1,37,0.7028290033340454,nan,1.0,0.0,1.0,0.0
ppo,1,38,0.7024268160263697,nan,1.0,0.0,1.0,0.0
ppo,1,39,0.7020310362180074,nan,1.0,0.0,1.0,0.0
ppo,1,40,0.7012872397899628,nan,1.0,0.0,1.0,0.0
ppo,1,41,0.7012892464796702,nan,1.0,0.0,1.0,0.0
ppo,1,42,0.7009350657463074,nan,1.0,0.0,1.0,0.0
ppo,1,43,0.7004141559203466,nan,1.0,0.0,1.0,0.0
ppo,1,44,0.7012184411287308,nan,1.0,0.0,1.0,0.0
ppo,1,45,0.7006181081136068,nan,1.0,0.0,1.0,0.0
ppo,1,46,0.6999846349159876,nan,1.0,0.0,1.0,0.0
ppo,1,47,0.7000928968191147,nan,1.0,0.0,1.0,0.0
ppo,1,48,0.6989777783552805,nan,1.0,0.0,1.0,0.0
ppo,1,49,0.6989297370115916,nan,1.0,0.0,1.0,0.0
ppo,1,50,0.6984183539946874,nan,1.0,0.0,1.0,0.0
ppo,1,51,0.6988887389500936,nan,1.0,0.0,1.0,0.0
ppo,1,52,0.6987199634313583,nan,1.0,0.0,1.0,0.0
ppo,1,53,0.6985990752776464,nan,1.0,0.0,1.0,0.0
ppo,1,54,0.6977660904328028,nan,1.0,0.0,1.0,0.0
ppo,1,55,0.6970228105783463,nan,1.0,0.0,1.0,0.0
ppo,1,56,0.6965730090936025,nan,1.0,0.0,1.0,0.0
ppo,1,57,0.6966764777898788,nan,1.0,0.0,1.0,0.0
ppo,1,58,0.6975437253713608,nan,1.0,0.0,1.0,0.0
ppo,1,59,0.6964708516995112,nan,1.0,0.0,1.0,0.0
ppo,1,60,0.6964476605256399,nan,1.0,0.0,1.0,0.0
